Country,2024 GDP (USD),2025 GDP (USD)
Argentina,579245800000,683533000000
Australia,1772000000000,1772000000000
Austria,521000000000,514300000000
Belgium,665000000000,660000000000
Brazil,2254000000000,2130000000000
Bulgaria,111901200000,115000000000
Canada,2171000000000,2330000000000
Chile,330000000000,362240000000
Colombia,419000000000,427770000000
Costa Rica,96000000000,93100000000
Croatia,92500000000,
Cyprus,36100000000,38000000000
Czech Republic,345000000000,370000000000
Denmark,429000000000,450000000000
Estonia,42700000000,44000000000
Finland,299000000000,310000000000
France,3161000000000,3300000000000
Germany,4526000000000,4526000000000
Greece,257000000000,265000000000
Hungary,223000000000,235000000000
Iceland,31000000000,32000000000
India,4300000000000,4700000000000
Ireland,590000000000,600000000000
Italy,2320000000000,2380000000000
Japan,4300000000000,4500000000000
Korea,1800000000000,1900000000000
Latvia,46000000000,48000000000
Lithuania,84000000000,88000000000
Luxembourg,89000000000,92000000000
Malta,20000000000,21000000000
Mexico,1860000000000,1950000000000
Netherlands,1100000000000,1130000000000
New Zealand,250000000000,260000000000
North Macedonia,15000000000,16000000000
Norway,570000000000,585000000000
People's Republic of China,18500000000000,19500000000000
Poland,870000000000,920000000000
Portugal,300000000000,310000000000
Republic of Turkiye,1300000000000,1400000000000
Romania,370000000000,390000000000
Serbia,80000000000,85000000000
Slovak Republic,145000000000,150000000000
Slovenia,70000000000,73000000000
Spain,1600000000000,1650000000000
Sweden,620000000000,640000000000
Switzerland,890000000000,910000000000
United Kingdom,3500000000000,3600000000000
United States,29000000000000,30500000000000
